scope,scope_value,field,obs_col,spatial_buffer_km,percentile,threshold,threshold_source,tp,fp,tn,fn,POD,FAR,CSI,HSS,objective_metric
by_date,2013-03-29,max_reflectivity,severe_obs,0.0,36.0,56.94889602661133,percentile,33,6,16,6,0.8461538461538461,0.15384615384615385,0.7333333333333333,0.5734265734265734,HSS
by_date,2013-03-29,max_reflectivity,sig_severe_obs,0.0,97.0,67.30620880126952,percentile,2,0,57,2,0.5,0.0,0.5,0.6514285714285715,HSS
by_date,2013-03-29,max_hdr_size,severe_obs,0.0,39.0,20.970002365112304,percentile,31,6,16,8,0.7948717948717948,0.16216216216216217,0.6888888888888889,0.512,HSS
by_date,2013-03-29,max_hdr_size,sig_severe_obs,0.0,97.0,39.457150268554685,percentile,2,0,57,2,0.5,0.0,0.5,0.6514285714285715,HSS
by_date,2013-03-29,max_hsda,severe_obs,0.0,,2.0,hsda_class,20,4,16,19,0.5128205128205128,0.16666666666666666,0.46511627906976744,0.26449864498644987,HSS
by_date,2013-03-29,max_hsda,sig_severe_obs,0.0,,3.0,hsda_class,3,12,43,1,0.75,0.8,0.1875,0.23376623376623376,HSS
by_date,2013-03-29,max_mesh_75_mh19,severe_obs,0.0,24.0,21.98179084433198,percentile,35,11,11,4,0.8974358974358975,0.2391304347826087,0.7,0.42705072010018785,HSS
by_date,2013-03-29,max_mesh_75_mh19,sig_severe_obs,0.0,97.0,50.02967871502118,percentile,1,1,56,3,0.25,0.5,0.2,0.3028571428571429,HSS
by_date,2013-05-19,max_reflectivity,severe_obs,0.0,31.0,54.98551254272461,percentile,52,23,14,20,0.7222222222222222,0.30666666666666664,0.5473684210526316,0.10262301359372009,HSS
by_date,2013-05-19,max_reflectivity,sig_severe_obs,0.0,50.0,56.79855346679688,percentile,10,45,48,6,0.625,0.8181818181818182,0.16393442622950818,0.07024586051179127,HSS
by_date,2013-05-19,max_hdr_size,severe_obs,0.0,17.0,18.118204116821293,percentile,64,26,11,8,0.8888888888888888,0.28888888888888886,0.6530612244897959,0.21115368241805024,HSS
by_date,2013-05-19,max_hdr_size,sig_severe_obs,0.0,26.0,19.758734588623046,percentile,15,65,28,1,0.9375,0.8125,0.18518518518518517,0.08982793522267206,HSS
by_date,2013-05-19,max_hsda,severe_obs,0.0,,2.0,hsda_class,33,13,24,36,0.4782608695652174,0.2826086956521739,0.4024390243902439,0.1109209174940089,HSS
by_date,2013-05-19,max_hsda,sig_severe_obs,0.0,,3.0,hsda_class,5,27,63,11,0.3125,0.84375,0.11627906976744186,0.008858267716535433,HSS
by_date,2013-05-19,max_mesh_75_mh19,severe_obs,0.0,28.0,27.079987867151182,percentile,58,20,17,14,0.8055555555555556,0.2564102564102564,0.6304347826086957,0.2758890191481047,HSS
by_date,2013-05-19,max_mesh_75_mh19,sig_severe_obs,0.0,49.0,31.958892864558347,percentile,13,43,50,3,0.8125,0.7678571428571429,0.22033898305084745,0.17206076618229854,HSS
by_date,2013-05-30,max_reflectivity,severe_obs,0.0,57.0,61.23952819824219,percentile,68,25,87,37,0.6476190476190476,0.26881720430107525,0.5230769230769231,0.42592592592592593,HSS
by_date,2013-05-30,max_reflectivity,sig_severe_obs,0.0,93.0,66.00599395751954,percentile,2,14,201,0,1.0,0.875,0.125,0.2092660072878709,HSS
by_date,2013-05-30,max_hdr_size,severe_obs,0.0,70.0,31.66461372375488,percentile,52,13,99,53,0.49523809523809526,0.2,0.4406779661016949,0.38373493975903616,HSS
by_date,2013-05-30,max_hdr_size,sig_severe_obs,0.0,94.0,39.21952438354492,percentile,1,12,203,1,0.5,0.9230769230769231,0.07142857142857142,0.11926319075866375,HSS
by_date,2013-05-30,max_hsda,severe_obs,0.0,,2.0,hsda_class,85,77,34,18,0.8252427184466019,0.47530864197530864,0.4722222222222222,0.12888850801268317,HSS
by_date,2013-05-30,max_hsda,sig_severe_obs,0.0,,3.0,hsda_class,2,108,104,0,1.0,0.9818181818181818,0.01818181818181818,0.01768106086365182,HSS
by_date,2013-05-30,max_mesh_75_mh19,severe_obs,0.0,69.0,43.55983822557438,percentile,53,14,98,52,0.5047619047619047,0.208955223880597,0.44537815126050423,0.3841059602649007,HSS
by_date,2013-05-30,max_mesh_75_mh19,sig_severe_obs,0.0,99.0,57.59146412201363,percentile,2,1,214,0,1.0,0.3333333333333333,0.6666666666666666,0.7977632805219013,HSS
by_date,2013-06-01,max_reflectivity,severe_obs,0.0,97.0,65.69098007202149,percentile,2,0,20,36,0.05263157894736842,0.0,0.05263157894736842,0.03690036900369004,HSS
by_date,2013-06-01,max_reflectivity,sig_severe_obs,0.0,92.0,64.27388214111329,percentile,1,4,52,1,0.5,0.8,0.16666666666666666,0.24870466321243523,HSS
by_date,2013-06-01,max_hdr_size,severe_obs,0.0,97.0,37.48152835845947,percentile,2,0,20,36,0.05263157894736842,0.0,0.05263157894736842,0.03690036900369004,HSS
by_date,2013-06-01,max_hdr_size,sig_severe_obs,0.0,81.0,32.43003982543945,percentile,1,10,46,1,0.5,0.9090909090909091,0.08333333333333333,0.10140845070422536,HSS
by_date,2013-06-01,max_hsda,severe_obs,0.0,,2.0,hsda_class,27,15,5,11,0.7105263157894737,0.35714285714285715,0.5094339622641509,-0.04143646408839779,HSS
by_date,2013-06-01,max_hsda,sig_severe_obs,0.0,,3.0,hsda_class,2,23,33,0,1.0,0.92,0.08,0.09004092769440655,HSS
by_date,2013-06-01,max_mesh_75_mh19,severe_obs,0.0,90.0,48.13221888930899,percentile,5,1,19,33,0.13157894736842105,0.16666666666666666,0.1282051282051282,0.05916030534351145,HSS
by_date,2013-06-01,max_mesh_75_mh19,sig_severe_obs,0.0,92.0,48.89225270031062,percentile,2,3,53,0,1.0,0.6,0.4,0.5492227979274611,HSS
by_date,2015-03-25,max_reflectivity,severe_obs,0.0,38.0,54.72714614868164,percentile,82,27,33,34,0.7068965517241379,0.24770642201834864,0.5734265734265734,0.24986025712688653,HSS
by_date,2015-03-25,max_reflectivity,sig_severe_obs,0.0,94.0,61.829153060913086,percentile,3,8,148,17,0.15,0.7272727272727273,0.10714285714285714,0.12280701754385964,HSS
by_date,2015-03-25,max_hdr_size,severe_obs,0.0,42.0,20.495616912841797,percentile,78,24,36,38,0.6724137931034483,0.23529411764705882,0.5571428571428572,0.2578890097932535,HSS
by_date,2015-03-25,max_hdr_size,sig_severe_obs,0.0,59.0,23.74154758453369,percentile,12,60,96,8,0.6,0.8333333333333334,0.15,0.10096153846153846,HSS
by_date,2015-03-25,max_hsda,severe_obs,0.0,,2.0,hsda_class,45,15,42,70,0.391304347826087,0.25,0.34615384615384615,0.10306748466257669,HSS
by_date,2015-03-25,max_hsda,sig_severe_obs,0.0,,3.0,hsda_class,3,25,127,17,0.15,0.8928571428571429,0.06666666666666667,-0.01233183856502242,HSS
by_date,2015-03-25,max_mesh_75_mh19,severe_obs,0.0,46.0,31.681765155911926,percentile,74,21,39,42,0.6379310344827587,0.22105263157894736,0.5401459854014599,0.2655007949125596,HSS
by_date,2015-03-25,max_mesh_75_mh19,sig_severe_obs,0.0,69.0,35.75022648739911,percentile,10,45,111,10,0.5,0.8181818181818182,0.15384615384615385,0.12,HSS
by_date,2017-05-11,max_reflectivity,severe_obs,0.0,85.0,58.16613082885741,percentile,20,6,123,20,0.5,0.23076923076923078,0.43478260869565216,0.5157593123209169,HSS
by_date,2017-05-11,max_reflectivity,sig_severe_obs,0.0,96.0,64.04956451416015,percentile,7,0,153,9,0.4375,0.0,0.4375,0.5847665847665847,HSS
by_date,2017-05-11,max_hdr_size,severe_obs,0.0,86.0,23.658593292236308,percentile,21,3,126,19,0.525,0.125,0.4883720930232558,0.5820593525179856,HSS
by_date,2017-05-11,max_hdr_size,sig_severe_obs,0.0,95.0,31.612320327758784,percentile,7,2,151,9,0.4375,0.2222222222222222,0.3888888888888889,0.5278130556261112,HSS
by_date,2017-05-11,max_hsda,severe_obs,0.0,,2.0,hsda_class,19,5,114,18,0.5135135135135135,0.20833333333333334,0.4523809523809524,0.5364341085271318,HSS
by_date,2017-05-11,max_hsda,sig_severe_obs,0.0,,3.0,hsda_class,8,4,138,6,0.5714285714285714,0.3333333333333333,0.4444444444444444,0.5806451612903226,HSS
by_date,2017-05-11,max_mesh_75_mh19,severe_obs,0.0,83.0,33.665359381845605,percentile,24,5,124,16,0.6,0.1724137931034483,0.5333333333333333,0.6200620918531207,HSS
by_date,2017-05-11,max_mesh_75_mh19,sig_severe_obs,0.0,95.0,44.61730082418531,percentile,7,2,151,9,0.4375,0.2222222222222222,0.3888888888888889,0.5278130556261112,HSS
by_date,2020-04-28,max_reflectivity,severe_obs,0.0,51.0,54.884520034790036,percentile,83,41,90,40,0.6747967479674797,0.33064516129032256,0.5060975609756098,0.36172985046844947,HSS
by_date,2020-04-28,max_reflectivity,sig_severe_obs,0.0,88.0,58.79745864868165,percentile,8,23,212,11,0.42105263157894735,0.7419354838709677,0.19047619047619047,0.250477347682694,HSS
by_date,2020-04-28,max_hdr_size,severe_obs,0.0,34.0,16.850029106140138,percentile,103,64,67,20,0.8373983739837398,0.38323353293413176,0.5508021390374331,0.3450795015040825,HSS
by_date,2020-04-28,max_hdr_size,sig_severe_obs,0.0,88.0,25.04053695678711,percentile,9,22,213,10,0.47368421052631576,0.7096774193548387,0.21951219512195122,0.2945669154660649,HSS
by_date,2020-04-28,max_hsda,severe_obs,0.0,,2.0,hsda_class,25,19,108,97,0.20491803278688525,0.4318181818181818,0.1773049645390071,0.05601673311981175,HSS
by_date,2020-04-28,max_hsda,sig_severe_obs,0.0,,3.0,hsda_class,3,15,215,16,0.15789473684210525,0.8333333333333334,0.08823529411764706,0.09497010200492438,HSS
by_date,2020-04-28,max_mesh_75_mh19,severe_obs,0.0,34.0,24.18303220760636,percentile,108,59,72,15,0.8780487804878049,0.3532934131736527,0.5934065934065934,0.42304622751550125,HSS
by_date,2020-04-28,max_mesh_75_mh19,sig_severe_obs,0.0,81.0,36.52879921492337,percentile,13,36,199,6,0.6842105263157895,0.7346938775510204,0.23636363636363636,0.30772225827384814,HSS
by_date,2020-05-04,max_reflectivity,severe_obs,0.0,13.0,53.21566593170166,percentile,68,10,9,3,0.9577464788732394,0.1282051282051282,0.8395061728395061,0.4987146529562982,HSS
by_date,2020-05-04,max_reflectivity,sig_severe_obs,0.0,31.0,56.03594078063965,percentile,28,34,23,5,0.8484848484848485,0.5483870967741935,0.417910447761194,0.2126514131897712,HSS
by_date,2020-05-04,max_hdr_size,severe_obs,0.0,12.0,17.503777236938475,percentile,68,11,8,3,0.9577464788732394,0.13924050632911392,0.8292682926829268,0.44785276073619634,HSS
by_date,2020-05-04,max_hdr_size,sig_severe_obs,0.0,41.0,23.788500366210936,percentile,23,30,27,10,0.696969696969697,0.5660377358490566,0.36507936507936506,0.15134370579915135,HSS
by_date,2020-05-04,max_hsda,severe_obs,0.0,,2.0,hsda_class,43,5,13,28,0.6056338028169014,0.10416666666666667,0.5657894736842105,0.2219867549668874,HSS
by_date,2020-05-04,max_hsda,sig_severe_obs,0.0,,3.0,hsda_class,16,20,36,17,0.48484848484848486,0.5555555555555556,0.3018867924528302,0.1253652058432935,HSS
by_date,2020-05-04,max_mesh_75_mh19,severe_obs,0.0,8.0,22.329760733760004,percentile,70,12,7,1,0.9859154929577465,0.14634146341463414,0.8433734939759037,0.44967074317968014,HSS
by_date,2020-05-04,max_mesh_75_mh19,sig_severe_obs,0.0,48.0,38.407757725068514,percentile,22,25,32,11,0.6666666666666666,0.5319148936170213,0.3793103448275862,0.20937042459736457,HSS
by_date,2020-05-05,max_reflectivity,severe_obs,0.0,22.0,55.02447692871093,percentile,33,7,3,9,0.7857142857142857,0.175,0.673469387755102,0.07964601769911504,HSS
by_date,2020-05-05,max_reflectivity,sig_severe_obs,0.0,85.0,61.92192974090576,percentile,3,5,37,7,0.3,0.625,0.2,0.1958762886597938,HSS
by_date,2020-05-05,max_hdr_size,severe_obs,0.0,22.0,19.378028488159178,percentile,34,6,4,8,0.8095238095238095,0.15,0.7083333333333334,0.19469026548672566,HSS
by_date,2020-05-05,max_hdr_size,sig_severe_obs,0.0,83.0,29.21176803588867,percentile,4,5,37,6,0.4,0.5555555555555556,0.26666666666666666,0.29207920792079206,HSS
by_date,2020-05-05,max_hsda,severe_obs,0.0,,2.0,hsda_class,20,3,7,20,0.5,0.13043478260869565,0.46511627906976744,0.12213740458015267,HSS
by_date,2020-05-05,max_hsda,sig_severe_obs,0.0,,3.0,hsda_class,4,10,30,6,0.4,0.7142857142857143,0.2,0.13043478260869565,HSS
by_date,2020-05-05,max_mesh_75_mh19,severe_obs,0.0,32.0,34.32272637936947,percentile,31,4,6,11,0.7380952380952381,0.11428571428571428,0.6739130434782609,0.2669172932330827,HSS
by_date,2020-05-05,max_mesh_75_mh19,sig_severe_obs,0.0,93.0,46.9445611805546,percentile,2,2,40,8,0.2,0.5,0.16666666666666666,0.19753086419753085,HSS
by_date,2020-08-31,max_reflectivity,severe_obs,0.0,37.0,56.69951057434083,percentile,13,1,3,6,0.6842105263157895,0.07142857142857142,0.65,0.2907488986784141,HSS
by_date,2020-08-31,max_reflectivity,sig_severe_obs,0.0,96.0,62.77013580322266,percentile,1,0,20,2,0.3333333333333333,0.0,0.3333333333333333,0.46511627906976744,HSS
by_date,2020-08-31,max_hdr_size,severe_obs,0.0,14.0,18.896377105712894,percentile,17,2,2,2,0.8947368421052632,0.10526315789473684,0.8095238095238095,0.39473684210526316,HSS
by_date,2020-08-31,max_hdr_size,sig_severe_obs,0.0,91.0,28.901277961730955,percentile,2,0,20,1,0.6666666666666666,0.0,0.6666666666666666,0.7766990291262136,HSS
by_date,2020-08-31,max_hsda,severe_obs,0.0,,2.0,hsda_class,6,1,3,13,0.3157894736842105,0.14285714285714285,0.3,0.030120481927710843,HSS
by_date,2020-08-31,max_hsda,sig_severe_obs,0.0,,3.0,hsda_class,1,3,17,2,0.3333333333333333,0.75,0.16666666666666666,0.16058394160583941,HSS
by_date,2020-08-31,max_mesh_75_mh19,severe_obs,0.0,51.0,30.93729127005866,percentile,10,1,3,9,0.5263157894736842,0.09090909090909091,0.5,0.15441176470588236,HSS
by_date,2020-08-31,max_mesh_75_mh19,sig_severe_obs,0.0,96.0,44.67901348727617,percentile,1,0,20,2,0.3333333333333333,0.0,0.3333333333333333,0.46511627906976744,HSS
by_date,2021-04-09,max_reflectivity,severe_obs,0.0,1.0,42.204870605468756,percentile,40,0,0,1,0.975609756097561,0.0,0.975609756097561,0.0,HSS
by_date,2021-04-09,max_reflectivity,sig_severe_obs,0.0,71.0,60.55552673339844,percentile,7,5,20,9,0.4375,0.4166666666666667,0.3333333333333333,0.2486910994764398,HSS
by_date,2021-04-09,max_hdr_size,severe_obs,0.0,6.0,5.064701461791991,percentile,38,0,0,3,0.926829268292683,0.0,0.926829268292683,0.0,HSS
by_date,2021-04-09,max_hdr_size,sig_severe_obs,0.0,86.0,31.545428848266603,percentile,6,0,25,10,0.375,0.0,0.375,0.4225352112676056,HSS
by_date,2021-04-09,max_hsda,severe_obs,0.0,,2.0,hsda_class,12,0,0,25,0.32432432432432434,0.0,0.32432432432432434,0.0,HSS
by_date,2021-04-09,max_hsda,sig_severe_obs,0.0,,3.0,hsda_class,4,3,18,12,0.25,0.42857142857142855,0.21052631578947367,0.11483253588516747,HSS
by_date,2021-04-09,max_mesh_75_mh19,severe_obs,0.0,3.0,2.4087604607700044,percentile,39,0,0,2,0.9512195121951219,0.0,0.9512195121951219,0.0,HSS
by_date,2021-04-09,max_mesh_75_mh19,sig_severe_obs,0.0,21.0,26.853530218206114,percentile,15,17,8,1,0.9375,0.53125,0.45454545454545453,0.21822033898305085,HSS
by_date,2021-04-29,max_reflectivity,severe_obs,0.0,1.0,47.49441833496094,percentile,23,0,0,1,0.9583333333333334,0.0,0.9583333333333334,0.0,HSS
