scope,scope_value,field,obs_col,spatial_buffer_km,percentile,threshold,threshold_source,tp,fp,tn,fn,POD,FAR,CSI,HSS
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,0.0,40.0,percentile,1328,676,0,0,1.0,0.3373253493013972,0.6626746506986028,0.0
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,1.0,45.196790657043465,percentile,1312,671,5,16,0.9879518072289156,0.3383761976802824,0.656328164082041,-0.006103496356317908
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,2.0,46.70315376281739,percentile,1308,655,21,20,0.9849397590361446,0.3336729495669893,0.659606656580938,0.020801542742479563
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,3.0,47.521192169189455,percentile,1299,644,32,29,0.9781626506024096,0.3314462171899125,0.6587221095334685,0.03283240443005114
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,4.0,48.18644287109375,percentile,1291,632,44,37,0.9721385542168675,0.328653146125845,0.6586734693877551,0.04748791487983085
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,5.0,48.98612880706788,percentile,1289,614,62,39,0.9706325301204819,0.3226484498160799,0.6637487126673532,0.07880294757827216
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,6.0,49.40857475280762,percentile,1282,601,75,46,0.9653614457831325,0.31917153478491767,0.6645930533955418,0.09556946308443941
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,7.0,49.89037536621094,percentile,1274,589,87,54,0.9593373493975904,0.31615673644659154,0.6645800730307773,0.10926314567036904
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,8.0,50.18659545898438,percentile,1268,575,101,60,0.9548192771084337,0.31199131850244166,0.6663163426169206,0.1282037931705392
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,9.0,50.67264045715332,percentile,1261,562,114,67,0.9495481927710844,0.30828304991771804,0.6671957671957672,0.14408752264523506
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,10.0,51.081051635742185,percentile,1254,549,127,74,0.9442771084337349,0.30449251247920134,0.6680873734683005,0.15969243940458594
