scope,scope_value,field,obs_col,spatial_buffer_km,percentile,threshold,threshold_source,tp,fp,tn,fn,POD,FAR,CSI,HSS
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,0.0,40.3101921081543,percentile,604,318,0,0,1.0,0.34490238611713664,0.6550976138828634,0.0
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,1.0,41.31021522521973,percentile,601,311,7,3,0.9950331125827815,0.34100877192982454,0.6568306010928961,0.02211743724160294
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,2.0,43.225221939086914,percentile,596,307,11,8,0.9867549668874173,0.3399778516057586,0.6542261251372119,0.02745872819207715
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,3.0,45.42565673828125,percentile,593,301,17,11,0.9817880794701986,0.3366890380313199,0.6552486187845303,0.04495292227194858
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,4.0,46.572530059814454,percentile,589,296,22,15,0.9751655629139073,0.3344632768361582,0.6544444444444445,0.05608042715404012
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,5.0,47.65959568023682,percentile,585,290,28,19,0.9685430463576159,0.3314285714285714,0.6543624161073825,0.07089793176318655
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,6.0,48.423064651489256,percentile,580,286,32,24,0.9602649006622517,0.3302540415704388,0.651685393258427,0.0756503628578451
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,7.0,49.001185989379884,percentile,576,281,37,28,0.9536423841059603,0.3278879813302217,0.6508474576271186,0.08623863804019423
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,8.0,49.40751342773437,percentile,573,275,43,31,0.9486754966887417,0.3242924528301887,0.6518771331058021,0.10251940450438987
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,9.0,50.08058948516846,percentile,568,271,47,36,0.9403973509933775,0.3230035756853397,0.6491428571428571,0.10689922823048331
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,10.0,50.61204490661621,percentile,566,263,55,38,0.9370860927152318,0.3172496984318456,0.6528258362168397,0.13218509415436186
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,11.0,51.01593456268311,percentile,565,255,63,39,0.9354304635761589,0.31097560975609756,0.6577415599534342,0.1591349017272186
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,12.0,51.53376754760742,percentile,561,250,68,43,0.9288079470198676,0.3082614056720099,0.6569086651053864,0.16863317145829101
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,13.0,51.83318649291992,percentile,557,245,73,47,0.9221854304635762,0.3054862842892768,0.6560659599528857,0.17798214438378582
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,14.0,52.0230209350586,percentile,555,238,80,49,0.9188741721854304,0.30012610340479196,0.6591448931116389,0.19835802356932958
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,15.0,52.22697811126709,percentile,553,230,88,51,0.9155629139072847,0.2937420178799489,0.6630695443645084,0.22185913800871002
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,16.0,52.41101943969726,percentile,550,224,94,54,0.9105960264900662,0.28940568475452194,0.6642512077294686,0.23607253132413777
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,17.0,52.616070137023925,percentile,546,219,99,58,0.9039735099337748,0.28627450980392155,0.6634264884568651,0.2446154665215411
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,18.0,52.877428741455084,percentile,541,215,103,63,0.8956953642384106,0.2843915343915344,0.6605616605616605,0.24761647567161374
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,19.0,53.09483165740967,percentile,539,208,110,65,0.8923841059602649,0.2784471218206158,0.6637931034482759,0.2666891966694441
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,20.0,53.36382369995117,percentile,538,199,119,66,0.890728476821192,0.2700135685210312,0.6699875466998755,0.2940602012100339
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,21.0,53.53968227386475,percentile,534,194,124,70,0.8841059602649006,0.2664835164835165,0.6691729323308271,0.3019157967190547
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,22.0,53.65974647521973,percentile,532,187,131,72,0.8807947019867549,0.26008344923504867,0.672566371681416,0.32015578470280764
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,23.0,53.82086574554443,percentile,526,184,134,78,0.8708609271523179,0.2591549295774648,0.6675126903553299,0.31728410414099506
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,24.0,53.918348236083986,percentile,523,177,141,81,0.8658940397350994,0.25285714285714284,0.6696542893725992,0.33309783340061905
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,25.0,53.99849033355712,percentile,518,173,145,86,0.8576158940397351,0.2503617945007236,0.6666666666666666,0.3353096069164008
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,26.0,54.10390174865723,percentile,515,167,151,89,0.8526490066225165,0.24486803519061584,0.6679636835278858,0.34768237544080743
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,27.0,54.32986904144287,percentile,510,163,155,94,0.8443708609271523,0.24219910846953938,0.6649282920469362,0.3497598858428693
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,28.0,54.44905349731446,percentile,507,157,161,97,0.8394039735099338,0.23644578313253012,0.6662286465177398,0.36185773766703727
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,29.0,54.64579120635986,percentile,504,150,168,100,0.8344370860927153,0.22935779816513763,0.6684350132625995,0.3767642573625637
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,30.0,54.74616394042969,percentile,499,146,172,105,0.8261589403973509,0.22635658914728682,0.6653333333333333,0.37859609363672003
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,31.0,54.89068416595459,percentile,495,141,177,109,0.8195364238410596,0.22169811320754718,0.6644295302013423,0.38532022016469686
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,32.0,55.01263900756836,percentile,488,139,179,116,0.8079470198675497,0.22169059011164274,0.6567967698519516,0.37730092222286965
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,33.0,55.13680000305176,percentile,483,135,183,121,0.7996688741721855,0.21844660194174756,0.6535859269282814,0.3790919135055506
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,34.0,55.24336349487305,percentile,477,131,187,127,0.7897350993377483,0.21546052631578946,0.6489795918367347,0.37891383812010443
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,35.0,55.34106369018554,percentile,472,127,191,132,0.7814569536423841,0.21202003338898165,0.6456908344733242,0.3806688210304637
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,36.0,55.47031570434571,percentile,464,126,192,140,0.7682119205298014,0.2135593220338983,0.6356164383561644,0.36814823211764586
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,37.0,55.60743156433105,percentile,458,123,195,146,0.7582781456953642,0.2117039586919105,0.6299862448418156,0.36523154570257116
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,38.0,55.7193489074707,percentile,454,119,199,150,0.7516556291390728,0.20767888307155322,0.627939142461964,0.3689269993129946
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,39.0,55.89036373138428,percentile,450,112,206,154,0.7450331125827815,0.199288256227758,0.6284916201117319,0.38092064742172277
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,40.0,56.02128295898437,percentile,443,110,208,161,0.7334437086092715,0.19891500904159132,0.6204481792717087,0.37335540340581347
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,41.0,56.22583984375,percentile,436,108,210,168,0.7218543046357616,0.19852941176470587,0.6123595505617978,0.3658872077028886
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,42.0,56.45979591369629,percentile,432,103,215,172,0.7152317880794702,0.1925233644859813,0.611032531824611,0.3722114103764008
by_radar,KCRI,max_reflectivity_buffer,severe_obs,2.0,43.0,56.540699882507326,percentile,424,101,217,180,0.7019867549668874,0.19238095238095237,0.601418439716312,0.3630248464613584
